"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2023-04-13","13:33","경기","파주시","학령로(동→서)","경기도 파주시 아동동 51-10도","경기도 파주시 금릉동 176-4도","16","18","15","매우좋음"
"2023-04-13","13:38","경기","파주시","가나무로(동→서)","경기도 파주시 금릉동 211-1도","경기도 파주시 금촌동 978-1도","16","19","68","좋음"
"2023-04-13","13:46","경기","파주시","쇠재로(서→동)","경기도 파주시 금촌동 978-35도","경기도 파주시 금촌동 978-22도","16","18","8","매우좋음"
"2023-04-13","13:55","경기","파주시","시청로(남→북)","경기도 파주시 금촌동 962-22도","경기도 파주시 야동동 96-8도","16","22","115","보통"
"2023-04-13","14:09","경기","파주시","새꽃로(남→북)","경기도 파주시 금촌동 978-37도","경기도 파주시 월롱면 영태리 503-5도","16","21","134","보통"
"2023-04-13","10:36","경기","시흥시","서해안로(북→남)","경기도 시흥시 계수동 371-3 도","경기도 시흥시 정왕동 2207-26 도","14","27","3","매우좋음"
"2023-04-13","10:55","경기","시흥시","공단2대로(서→동)","경기도 시흥시 정왕동 1708-1 도","경기도 시흥시 정왕동 2117도","14","30","4","매우좋음"
"2023-04-13","11:05","경기","시흥시","공단3대로(동→서)","경기도 시흥시 정왕동 2207-24천","경기도 시흥시 정왕동 2207-26 도","14","31","12","매우좋음"
"2023-04-13","11:14","경기","시흥시","오이도로(남→북)","경기도 시흥시 정왕동 2207-26 도","경기도 시흥시 정왕동 1349-2 도","14","30","57","좋음"
"2023-04-13","11:26","경기","시흥시","공단1대로(서→동)","경기도 시흥시 정왕동 1349도","경기도 시흥시 정왕동 1305천","15","25","12","매우좋음"
"2023-04-13","11:45","경기","시흥시","번영로(남→북)","경기도 시흥시 정왕동 1299도","경기도 시흥시 정왕동 1633도","15","24","5","매우좋음"
"2023-04-13","11:52","경기","시흥시","정왕대로(동→서)","경기도 시흥시 정왕동 2155천","경기도 시흥시 정왕동 2139도","15","23","9","매우좋음"
"2023-04-13","12:15","경기","시흥시","옥구공원로(서→동)","경기도 시흥시 정왕동 2139도","경기도 시흥시 정왕동 1633도","15","22","17","매우좋음"
"2023-04-13","13:13","경기","시흥시","역전로(남→북)","경기도 시흥시 정왕동 1633도","경기도 시흥시 정왕동 1890도","16","20","74","좋음"
"2023-04-13","13:34","경기","시흥시","옥구천동로(북→남)","경기도 시흥시 정왕동 1890도","경기도 시흥시 정왕동 2207-10도","16","23","10","매우좋음"
"2023-04-13","13:58","경기","시흥시","마유로(남→북)","경기도 시흥시 정왕동 2207-18도","경기도 시흥시 계수동 산 111-12임","17","24","12","매우좋음"
"2023-04-13","14:37","경기","시흥시","정왕천로(북→남)","경기도 시흥시 정왕동 1220도","경기도 시흥시 정왕동 2207-22도","17","23","18","매우좋음"
"2023-04-13","14:57","경기","시흥시","경제로(동→서)","경기도 시흥시 정왕동 1385도","경기도 시흥시 정왕동 1349-2 도","17","23","20","매우좋음"
"2023-04-13","15:16","경기","시흥시","협력로(남→북)","경기도 시흥시 정왕동 2136도","경기도 시흥시 정왕동 1909도","17","23","48","매우좋음"
"2023-04-13","15:32","경기","시흥시","중심상가로(서→동)","경기도 시흥시 정왕동 1909도","경기도 시흥시 정왕동 1633도","17","22","29","매우좋음"
"2023-04-13","15:54","경기","시흥시","정왕신길로(동→서)","경기도 시흥시 정왕동 2155천","경기도 시흥시 정왕동 1893도","18","21","18","매우좋음"
"2023-04-13","16:12","경기","시흥시","옥구천동로374번길(서→동)","경기도 시흥시 정왕동 1898도","경기도 시흥시 정왕동 1916도","17","22","58","좋음"
"2023-04-14","09:26","인천","서구","드림로(동→서)","인천광역시 서구 당하동 661-12도","인천광역시 서구 왕길동 64-24 도","15","70","31","매우좋음"
"2023-04-14","09:43","인천","서구","한들로(서→동)","인천광역시 서구 백석동","인천광역시 서구 백석동 54-2 도","16","68","40","매우좋음"
"2023-04-14","09:51","인천","서구","승학로(북→남)","인천광역시 서구 검암동 71-17 도","인천광역시 서구 가정동 571도","16","67","40","매우좋음"
"2023-04-14","10:11","인천","서구","심곡로(북→남)","인천광역시 서구 공촌동 325도","인천광역시 서구 심곡동 354 도","16","66","53","좋음"
"2023-04-14","10:34","인천","서구","탁옥로(서→동)","인천광역시 서구 심곡동 354 도","인천광역시 서구 심곡동 311도","17","59","105","보통"
"2023-04-14","10:49","인천","서구","경명대로(동→서)","인천광역시 서구 공촌동 산163-24 도","인천광역시 서구 경서동 517-15 구","18","60","36","매우좋음"
"2023-04-14","11:09","인천","서구","로봇랜드로(북→남)","인천광역시 서구 경서동 514도","인천광역시 서구 원창동 437-27 잡","18","64","49","매우좋음"
"2023-04-14","12:53","인천","서구","북항로177번길(북→남)","인천광역시 서구 원창동 395-3 도","인천광역시 서구 원창동 395-20 도","19","55","42","매우좋음"
"2023-04-14","12:57","인천","서구","북항로207번길(남→북)","인천광역시 서구 원창동 485-1 도","인천광역시 서구 원창동 485-3 도","18","56","94","좋음"
"2023-04-14","13:01","인천","서구","북항로(서→동)","인천광역시 서구 원창동 437-23 잡","인천광역시 서구 석남동 648도","20","54","32","매우좋음"
"2023-04-14","13:13","인천","서구","중봉대로(남→북)","인천광역시 서구 가좌동 600-1 도","인천광역시 서구 금곡동 501-3도","20","51","53","좋음"
"2023-04-14","10:11","경기","남양주시","청학로(서→동)","경기도 남양주시 별내면 청학리 492-4도","경기도 남양주시 별내면 광전리 산76 도","16","75","37","매우좋음"
"2023-04-14","10:20","경기","남양주시","송산로(북→남)","경기도 남양주시 별내면 청학리 494-5 도","경기도 남양주시 퇴계원면 퇴계원리 359-53 도","16","75","15","매우좋음"
"2023-04-14","10:33","경기","남양주시","경춘북로(서→동)","경기도 남양주시 별내동 185-9천","경기도 남양주시 화도읍 구암리 산96-4도","16","79","94","좋음"
"2023-04-14","10:38","경기","남양주시","별내2로(동→서)","경기도 남양주시 퇴계원면 퇴계원리 325-30 구","경기도 남양주시 별내동 190-4 천","17","76","66","좋음"
"2023-04-14","10:45","경기","남양주시","별내3로(남→북)","경기도 남양주시 별내동 538-15 천","경기도 남양주시 별내동 820도","17","75","54","좋음"
